John Jay,1745,1829,84
John Rutledge,1739,1800,61
William Cushing,1732,1810,78
James Wilson,1742,1798,56
John Blair Jr.,1732,1800,68
James Iredell,1751,1799,48
Thomas Johnson (jurist)|Thomas Johnson,1732,1819,87
William Paterson (judge)|William Paterson,1745,1806,61
John Rutledge,1739,1800,61
Samuel Chase,1741,1811,70
Oliver Ellsworth,1745,1807,62
Bushrod Washington,1762,1829,67
Alfred Moore,1755,1810,55
John Marshall,1755,1835,80
William Johnson (judge)|William Johnson,1771,1834,63
Henry Brockholst Livingston,1757,1823,66
Thomas Todd,1765,1826,61
Gabriel Duvall,1752,1844,92
Joseph Story,1779,1845,66
Smith Thompson,1768,1843,75
Robert Trimble,1776,1828,52
John McLean,1785,1861,76
Henry Baldwin (judge)|Henry Baldwin,1780,1844,64
James Moore Wayne,1790,1867,77
Roger B. Taney,1777,1864,87
Philip Pendleton Barbour,1783,1841,58
John Catron,1786,1865,79
John McKinley,1780,1852,72
Peter Vivian Daniel,1784,1860,76
Samuel Nelson,1792,1873,81
Levi Woodbury,1789,1851,62
Robert Cooper Grier,1794,1870,76
Benjamin Robbins Curtis,1809,1874,65
John Archibald Campbell,1811,1889,78
Nathan Clifford,1803,1881,78
Noah Haynes Swayne,1804,1884,80
Samuel Freeman Miller,1816,1890,74
David Davis (Supreme Court justice)|David Davis,1815,1886,71
Stephen Johnson Field,1816,1899,83
Salmon P. Chase,1808,1873,65
William Strong (judge)|William Strong,1808,1895,87
Joseph P. Bradley,1813,1892,79
Ward Hunt,1810,1886,76
Morrison Waite,1816,1888,72
John Marshall Harlan,1833,1911,78
William Burnham Woods,1824,1887,63
Stanley Matthews (lawyer)|Stanley Matthews,1824,1889,65
Horace Gray,1828,1902,74
Samuel Blatchford,1820,1893,73
Lucius Quintus Cincinnatus Lamar (II)|Lucius Quintus<br />Cincinnatus Lamar,1825,1893,68
Melville Fuller,1833,1910,77
David Josiah Brewer,1837,1910,73
Henry Billings Brown,1836,1913,77
George Shiras Jr.,1832,1924,92
Howell Edmunds Jackson,1832,1895,63
Edward Douglass White,1845,1921,76
Rufus Wheeler Peckham,1838,1909,71
Joseph McKenna,1843,1926,83
Oliver Wendell Holmes Jr.,1841,1935,94
William R. Day,1849,1923,74
William Henry Moody,1853,1917,64
Horace Harmon Lurton,1844,1914,70
Charles Evans Hughes,1862,1948,86
Willis Van Devanter,1859,1941,82
Joseph Rucker Lamar,1857,1916,59
Mahlon Pitney,1858,1924,66
James Clark McReynolds,1862,1946,84
Louis Brandeis,1856,1941,85
John Hessin Clarke,1857,1945,88
William Howard Taft,1857,1930,73
George Sutherland,1862,1942,80
Pierce Butler (justice)|Pierce Butler,1866,1939,73
Edward Terry Sanford,1865,1930,65
Harlan F. Stone,1872,1946,74
Charles Evans Hughes,1862,1948,86
Owen Roberts,1875,1955,80
Benjamin N. Cardozo,1870,1938,68
Hugo Black,1886,1971,85
Stanley Forman Reed,1884,1980,96
Felix Frankfurter,1882,1965,83
William O. Douglas,1898,1980,82
Frank Murphy,1890,1949,59
James F. Byrnes,1882,1972,90
Robert H. Jackson,1892,1954,62
Wiley Blount Rutledge,1894,1949,55
Harold Hitz Burton,1888,1964,76
Fred M. Vinson,1890,1953,63
Tom C. Clark,1899,1977,78
Sherman Minton,1890,1965,75
Earl Warren,1891,1974,83
John Marshall Harlan II,1899,1971,72
William J. Brennan Jr.,1906,1997,91
Charles Evans Whittaker,1901,1973,72
Potter Stewart,1915,1985,70
Byron White,1917,2002,85
Arthur Goldberg,1908,1990,82
Abe Fortas,1910,1982,72
Thurgood Marshall,1908,1993,85
Warren E. Burger,1907,1995,88
Harry Blackmun,1908,1999,91
Lewis F. Powell Jr.,1907,1998,91
William Rehnquist,1924,2005,81
John Paul Stevens,1920
Sandra Day O'Connor,1930
Antonin Scalia,1936,2016,80
Anthony Kennedy,1936
David Souter,1939
Clarence Thomas,1948
Ruth Bader Ginsburg,1933
Stephen Breyer,1938
John G. Roberts,1955
Samuel Alito,1950
Sonia Sotomayor,1954
Elena Kagan,1960
